Hãng xe,Dòng xe,Xuất xứ,Kiểu dáng,Hộp số,Loại động cơ,Năm sản xuất,Số Km đã đi,Số ngày bài đã đăng,Dung tích động cơ,Giá thực tế,Giá dự đoán
kia,optima 2.0 at luxury 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,100000.0,59.0,2.0,498.0,517.4465144743989
hyundai,elantra 1.6 at đặc biệt 2023,lắp ráp trong nước,sedan,số tự động,xăng,2023.0,23000.0,57.0,1.6,585.0,583.0991737365474
mercedes,benz glc 300 4matic 2020,lắp ráp trong nước,suv,số tự động,xăng,2020.0,30000.0,65.0,2.0,1499.0,1482.8704649954689
toyota,camry 2.0e 2013,lắp ráp trong nước,sedan,số tự động,xăng,2013.0,88000.0,60.0,2.0,405.0,438.7161111135588
mazda,3 1.5l luxury 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,60000.0,57.0,1.5,445.0,450.6330528064974
toyota,fortuner 2.8v 4x4 at 2019,lắp ráp trong nước,suv,số tự động,dầu,2019.0,84000.0,57.0,2.8,850.0,800.661695272835
ford,ranger wildtrak 2.0l 4x4 at 2022,lắp ráp trong nước,bán tải / pickup,số tự động,dầu,2022.0,36000.0,94.0,2.0,804.0,777.3277619791522
nissan,x trail 2.0 2wd premium 2018,lắp ráp trong nước,suv,số tự động,xăng,2018.0,110000.0,57.0,2.0,569.0,495.1705563004875
peugeot,5008 1.6 at 2018,lắp ráp trong nước,suv,số tự động,xăng,2018.0,85000.0,80.0,1.6,620.0,607.3180925949308
mazda,6 premium 2.0 at 2023,lắp ráp trong nước,sedan,số tự động,xăng,2023.0,26000.0,57.0,2.0,735.0,727.1893799003262
honda,civic 1.5l vtec turbo 2017,nhập khẩu,sedan,số tự động,xăng,2017.0,90000.0,82.0,1.5,475.0,461.76489186636195
hyundai,santafe slx 2009,nhập khẩu,suv,số tự động,dầu,2009.0,14990.0,57.0,2.0,325.0,352.7504504541274
mercedes,benz e class e200 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,70000.0,57.0,2.0,1039.0,1039.2856951302545
ford,focus trend 1.5l 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,78000.0,65.0,1.5,369.0,369.37274404922607
toyota,innova 2.0g 2015,lắp ráp trong nước,crossover,số tự động,xăng,2015.0,190000.0,89.0,2.0,320.0,347.4218072231795
mercedes,benz c class c200 exclusive 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,179626.7683965918,59.0,1.5,925.0,962.89411629665
mercedes,benz e class e200 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,105600.0,57.0,2.0,799.0,798.6346835118466
hyundai,kona 2.0 ath 2020,lắp ráp trong nước,crossover,số tự động,xăng,2020.0,66000.0,68.0,2.0,468.0,484.61217653132985
suzuki,xl7 1.5 at 2022,nhập khẩu,suv,số tự động,xăng,2022.0,59000.0,57.0,1.5,460.0,451.68630380919495
toyota,sienna limited 3.5 2016,nhập khẩu,van/minivan,số tự động,xăng,2016.0,60000.0,57.0,3.5,1557.0,1610.0253708562345
vinfast,vf3 plus 2025,lắp ráp trong nước,hatchback,số tự động,điện,2025.0,9000.0,62.0,2.097755539082448,267.0,259.36565376699156
honda,crv g 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,70000.0,102.0,1.5,789.0,804.3882919120051
kia,morning luxury 2020,lắp ráp trong nước,hatchback,số tự động,xăng,2020.0,26000.0,57.0,1.25,318.0,311.51271836715114
porsche,macan 2.0 2015,nhập khẩu,suv,số tự động,xăng,2015.0,100000.0,58.0,2.0,1379.0,1392.5954573177453
peugeot,2008 gt line 1.2 at 2023,lắp ráp trong nước,crossover,số tự động,xăng,2023.0,9000.0,58.0,1.2,675.0,686.6316348965611
audi,q5 2.0 at 2016,nhập khẩu,suv,số tự động,xăng,2016.0,110000.0,59.0,2.0,685.0,759.0316266740258
nissan,navara le 2.5mt 4wd 2011,nhập khẩu,bán tải / pickup,số tay,dầu,2011.0,179626.7683965918,69.0,2.5,222.0,175.4895757025326
toyota,prado vx 2.7l 2019,nhập khẩu,suv,số tự động,xăng,2019.0,100000.0,57.0,2.7,1929.0,1917.190990412934
hyundai,getz 1.4 at 2008,nhập khẩu,hatchback,số tự động,xăng,2008.0,150000.0,57.0,1.4,140.0,147.28395217179101
hyundai,i10 grand 1.2 mt 2014,nhập khẩu,hatchback,số tay,xăng,2014.0,10000.0,73.0,1.25,163.0,190.35964477422436
mercedes,benz e class e200 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,91000.0,57.0,2.0,799.0,800.4205551031725
kia,carnival signature 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,101000.0,75.0,2.2,1130.0,1197.5918470449037
landrover,range rover evoque black edition 2014,nhập khẩu,suv,số tự động,xăng,2014.0,50000.0,58.0,2.0,639.0,829.0683284311281
nissan,navara el premium r 2018,nhập khẩu,bán tải / pickup,số tự động,dầu,2018.0,14000.0,63.0,2.5,410.0,417.68609683513705
toyota,raize g 1.0 cvt 2022,nhập khẩu,suv,số tự động,xăng,2022.0,20000.0,58.0,1.0,480.0,471.52126642027736
honda,hrv rs 2022,nhập khẩu,crossover,số tự động,xăng,2022.0,25000.0,57.0,1.5,735.0,754.2282745606777
ford,ranger wildtrak 2.0l 4x4 at 2018,nhập khẩu,bán tải / pickup,số tự động,dầu,2018.0,140000.0,57.0,2.0,560.0,584.8317494671841
mercedes,benz gl 350 bluetec 4matic 2009,nhập khẩu,suv,số tự động,dầu,2009.0,110000.0,106.0,3.0,440.0,547.0960952978522
mitsubishi,xpander 1.5 mt 2023,lắp ráp trong nước,suv,số tay,xăng,2023.0,179626.7683965918,57.0,1.5,468.0,425.71586651205575
mitsubishi,xpander premium 1.5 at 2023,nhập khẩu,suv,số tự động,xăng,2023.0,32000.0,57.0,1.5,562.0,552.5894081909291
volvo,xc90 t6 inscription 2018,nhập khẩu,suv,số tự động,xăng,2018.0,100000.0,57.0,2.0,1680.0,1716.7478065668352
ford,ranger xls 2.2l 4x2 at 2018,nhập khẩu,bán tải / pickup,số tự động,dầu,2018.0,90000.0,57.0,2.2,470.0,496.00365407550686
daewoo,lacetti cdx 1.6 at 2009,nhập khẩu,sedan,số tự động,xăng,2009.0,90.0,91.0,1.6,128.0,170.98022183173242
honda,civic g 1.8 at 2019,nhập khẩu,sedan,số tự động,xăng,2019.0,50000.0,68.0,1.8,538.0,537.7479327410158
kia,sorento signature 2.5 at awd 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,50000.0,61.0,2.5,869.0,840.8238732423902
mazda,3 1.5l luxury 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,95000.0,57.0,1.5,468.0,449.13508424936094
kia,sonet deluxe 1.5 at 2023,lắp ráp trong nước,crossover,số tự động,xăng,2023.0,50000.0,57.0,1.5,498.0,496.58496305351997
mercedes,benz glc 300 coupe 4matic 2019,nhập khẩu,suv,số tự động,xăng,2019.0,75166.0,57.0,2.0,1690.0,1630.3726830936437
mitsubishi,xpander premium 1.5 at 2024,nhập khẩu,suv,số tự động,xăng,2024.0,30697.0,70.0,1.5,590.0,594.1620599900225
mitsubishi,attrage 1.2 cvt 2020,nhập khẩu,sedan,số tự động,xăng,2020.0,114000.0,106.0,1.2,290.0,306.54337523681596
mitsubishi,triton 4x2 at mivec 2021,nhập khẩu,bán tải / pickup,số tự động,dầu,2021.0,77000.0,58.0,2.4,510.0,513.0056176936248
mercedes,benz c class c300 amg 2021,nhập khẩu,sedan,số tự động,xăng,2021.0,42000.0,61.0,2.0,1569.0,1427.010823777783
toyota,camry 2.0e 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,90000.0,57.0,2.0,540.0,528.1247462373155
hyundai,elantra 1.6 at 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,70000.0,57.0,1.6,465.0,475.7007297318627
toyota,vios 1.5g 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,84000.0,57.0,1.5,348.0,343.007505579962
peugeot,3008 gt 2022,lắp ráp trong nước,crossover,số tự động,xăng,2022.0,50000.0,89.0,1.6,820.0,819.1366319613327
toyota,fortuner 2.4g 4x2 mt 2018,nhập khẩu,suv,số tay,dầu,2018.0,125000.0,59.0,2.4,670.0,700.1634162697889
bmw,3 series 320i sport line 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,42000.0,58.0,2.0,1260.0,1271.8123907021977
landrover,range rover hse 3.0 2015,nhập khẩu,suv,số tự động,xăng,2015.0,136000.0,58.0,3.0,2166.0,2150.090046793871
bmw,3 series 320i sport line 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,42000.0,58.0,2.0,1280.0,1271.8123907021977
mitsubishi,xpander cross 1.5 at 2023,nhập khẩu,suv,số tự động,xăng,2023.0,30000.0,70.0,1.5,630.0,598.9822423093427
kia,seltos gt,lắp ráp trong nước,crossover,số tự động,xăng,2024.0,11962.0,62.0,1.4,1.0,1.3041353398633053
peugeot,3008 gt 2024,lắp ráp trong nước,crossover,số tự động,xăng,2024.0,16000.0,57.0,1.6,939.0,928.2961709067262
peugeot,3008 1.6 at 2017,lắp ráp trong nước,crossover,số tự động,xăng,2017.0,100.0,57.0,1.6,535.0,389.37783049912787
hyundai,tucson 2.0 at đặc biệt 2021,lắp ráp trong nước,crossover,số tự động,xăng,2021.0,48000.0,57.0,2.0,686.0,702.0359571748209
landrover,range rover velar r,nhập khẩu,suv,số tự động,xăng,2019.0,80000.0,57.0,2.0,2000.0,1968.5263358517648
volvo,xc90 t6 inscription 2017,nhập khẩu,suv,số tự động,xăng,2017.0,89000.0,57.0,2.0,1650.0,1593.5850828397433
toyota,corolla cross 1.8v 2021,nhập khẩu,suv,số tự động,xăng,2021.0,50000.0,57.0,1.8,699.0,684.8789254648132
hyundai,accent 1.4 mt base 2019,lắp ráp trong nước,sedan,số tay,xăng,2019.0,54000.0,59.0,1.4,279.0,295.0825742282703
toyota,vios 1.5e 2010,lắp ráp trong nước,sedan,số tay,xăng,2010.0,11000.0,58.0,1.5,185.0,174.33829772329497
ford,everest titanium plus 2.0l 4x4 at 2023,nhập khẩu,suv,số tự động,dầu,2023.0,179626.7683965918,57.0,2.0,1320.0,1327.7942355160558
hyundai,i10 1.2 at 2024,lắp ráp trong nước,hatchback,số tự động,xăng,2024.0,30000.0,57.0,1.25,425.0,401.8912792129353
mitsubishi,outlander premium 2.0 cvt 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,39000.0,61.0,2.0,699.0,696.0976020169136
vinfast,vf5 plus 2024,lắp ráp trong nước,suv,số tự động,điện,2024.0,27000.0,57.0,2.097755539082448,435.0,437.8221302608087
mitsubishi,pajero sport d 4x2 at 2014,lắp ráp trong nước,suv,số tự động,dầu,2014.0,160000.0,57.0,2.5,380.0,410.08008032665794
peugeot,3008 al 2022,lắp ráp trong nước,crossover,số tự động,xăng,2022.0,24000.0,61.0,1.6,750.0,765.0007690215014
mazda,3 1.5l sport luxury 2022,lắp ráp trong nước,hatchback,số tự động,xăng,2022.0,20332.0,57.0,1.5,550.0,569.2372090509876
toyota,yaris 1.3 at 2010,nhập khẩu,hatchback,số tự động,xăng,2010.0,120000.0,57.0,1.3,235.0,269.01000188407755
toyota,fortuner 2.5g 2015,lắp ráp trong nước,suv,số tay,dầu,2015.0,130000.0,59.0,2.5,489.0,503.0958421812622
kia,sorento signature 2.5 at awd 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,59000.0,57.0,2.5,928.0,907.9018298637405
toyota,vios e cvt 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,100000.0,82.0,1.5,370.0,406.0290011036433
mitsubishi,xpander 1.5 mt 2021,nhập khẩu,suv,số tay,xăng,2021.0,80000.0,59.0,1.5,425.0,432.9476243013229
ford,ranger xls 2.2l 4x2 at 2021,nhập khẩu,bán tải / pickup,số tự động,dầu,2021.0,57000.0,68.0,2.2,565.0,570.8622125382034
mercedes,benz gl 450 4matic 2011,nhập khẩu,suv,số tự động,xăng,2011.0,179626.7683965918,98.0,4.7,755.0,1140.1555371490347
nissan,x trail 2.5 sv 4wd premium 2017,lắp ráp trong nước,suv,số tự động,xăng,2017.0,73000.0,71.0,2.5,556.0,514.8323871250197
ford,ranger xls 2.0l 4x2 at 2024,lắp ráp trong nước,bán tải / pickup,số tự động,dầu,2024.0,17000.0,58.0,2.0,675.0,665.7614559947897
toyota,prado vx 2.7l 2018,nhập khẩu,suv,số tự động,xăng,2018.0,150000.0,57.0,2.7,1720.0,1797.5625235235527
mazda,3 1.5l luxury 2024,lắp ráp trong nước,sedan,số tự động,xăng,2024.0,6000.0,57.0,1.5,599.0,606.2235322236993
hyundai,santafe cao cấp 2.5l htrac 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,179626.7683965918,58.0,2.5,1089.0,1004.5885251995214
mitsubishi,xpander 1.5 mt 2019,nhập khẩu,suv,số tay,xăng,2019.0,179626.7683965918,57.0,1.5,340.0,358.86309434396253
hyundai,creta tiêu chuẩn 1.5 at 2023,nhập khẩu,crossover,số tự động,xăng,2023.0,29000.0,57.0,1.5,550.0,558.379053910036
ford,territory titanium x 1.5 at 2024,lắp ráp trong nước,suv,số tự động,xăng,2024.0,33000.0,57.0,1.5,835.0,830.8120144808756
honda,city l 1.5 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,120000.0,57.0,1.5,425.0,431.73392948492994
toyota,corolla cross 1.8v 2021,nhập khẩu,suv,số tự động,xăng,2021.0,70000.0,57.0,1.8,678.0,683.2036861502772
mercedes,benz c class c200 2012,lắp ráp trong nước,sedan,số tự động,xăng,2012.0,123456.0,57.0,1.8,279.0,270.90318487593856
mazda,cx5 luxury 2.0 at 2023,lắp ráp trong nước,suv,số tự động,xăng,2023.0,31000.0,59.0,2.0,715.0,715.968790979535
toyota,fortuner 2.7v 4x2 at 2017,nhập khẩu,suv,số tự động,xăng,2017.0,77000.0,58.0,2.7,658.0,667.4127166171638
mercedes,benz c class c300 amg 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,43000.0,59.0,2.0,1599.0,1605.9513173770276
honda,crv l 2019,nhập khẩu,suv,số tự động,xăng,2019.0,90000.0,105.0,1.5,765.0,747.8964422161165
toyota,vios 1.5g 2017,lắp ráp trong nước,sedan,số tự động,xăng,2017.0,83000.0,57.0,1.5,348.0,339.26295767304083
toyota,prado txl 2.7l 2009,nhập khẩu,suv,số tự động,xăng,2009.0,130000.0,58.0,2.7,720.0,678.1660134143717
audi,q5 2.0 at 2014,nhập khẩu,suv,số tự động,xăng,2014.0,86000.0,70.0,2.0,538.0,589.737034866442
kia,sorento signature 2.2 at awd 2022,lắp ráp trong nước,suv,số tự động,dầu,2022.0,50000.0,57.0,2.2,885.0,978.8791116235119
kia,sorento gat 2.4l 2wd 2013,lắp ráp trong nước,suv,số tự động,xăng,2013.0,179626.7683965918,99.0,2.4,379.0,345.38973470005715
kia,k5 premium 2.0 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,31000.0,107.0,2.0,729.0,690.3385707773865
mazda,3 1.5 at 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,179626.7683965918,62.0,1.5,365.0,363.581033488391
ford,ranger xls 2.2l 4x2 mt 2019,nhập khẩu,bán tải / pickup,số tay,dầu,2019.0,90000.0,65.0,2.2,425.0,455.43928233234686
ford,ranger xls 2.2l 4x2 at 2019,nhập khẩu,bán tải / pickup,số tự động,dầu,2019.0,70000.0,58.0,2.2,500.0,510.74919243787974
lexus,es 250 2022,nhập khẩu,sedan,số tự động,xăng,2022.0,29000.0,70.0,2.5,2199.0,2222.4349238124
kia,rio 1.4 at 2013,nhập khẩu,hatchback,số tự động,xăng,2013.0,90000.0,70.0,1.4,255.0,252.6602700873679
chevrolet,captiva revv ltz 2.4 at 2017,lắp ráp trong nước,suv,số tự động,xăng,2017.0,105000.0,72.0,2.4,370.0,390.663896884154
mazda,cx8 premium awd 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,80000.0,57.0,2.5,880.0,874.2985145118345
porsche,macan 2.0 2015,nhập khẩu,suv,số tự động,xăng,2015.0,96000.0,57.0,2.0,1299.0,1393.1986406733215
lexus,es 250 2022,nhập khẩu,sedan,số tự động,xăng,2022.0,28000.0,57.0,2.5,2150.0,2213.7896984804465
kia,seltos premium 1.4 at 2022,lắp ráp trong nước,crossover,số tự động,xăng,2022.0,41466.0,76.0,1.4,620.0,635.8993256261818
infiniti,qx 60 3.5 awd 2016,nhập khẩu,suv,số tự động,xăng,2016.0,103000.0,57.0,3.5,950.0,915.1675929494038
hyundai,santafe cao cấp 2.5l htrac 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,60000.0,60.0,2.5,1020.0,1046.7129979855818
mazda,cx8 premium awd 2024,lắp ráp trong nước,suv,số tự động,xăng,2024.0,17000.0,57.0,2.5,1079.0,886.648822057148
hyundai,i10 grand 1.2 mt base 2019,lắp ráp trong nước,sedan,số tay,xăng,2019.0,179626.7683965918,98.0,1.25,195.0,213.40768111550688
bmw,5 series 523i 2011,nhập khẩu,sedan,số tự động,xăng,2011.0,110000.0,73.0,2.5,415.0,435.93155809460154
hyundai,santafe cao cấp 2.2l htrac 2021,lắp ráp trong nước,suv,số tự động,dầu,2021.0,78000.0,57.0,2.2,1035.0,997.256094108838
honda,civic g 1.8 at 2019,nhập khẩu,sedan,số tự động,xăng,2019.0,68000.0,69.0,1.8,549.0,537.0659532353444
bmw,3 series 320i 2016,nhập khẩu,sedan,số tự động,xăng,2016.0,82000.0,101.0,2.0,620.0,549.134079863319
honda,hrv l 2019,nhập khẩu,crossover,số tự động,xăng,2019.0,32000.0,57.0,1.8,565.0,545.364168261978
mercedes,benz glc 200 4matic 2023,lắp ráp trong nước,suv,số tự động,xăng,2023.0,10000.0,57.0,2.0,1930.0,1962.8807083475015
porsche,cayenne 3.6 v6 2012,nhập khẩu,suv,số tự động,xăng,2012.0,179626.7683965918,57.0,3.6,870.0,1045.3579835812586
kia,sedona 2.2 dat luxury 2019,lắp ráp trong nước,van/minivan,số tự động,dầu,2019.0,90000.0,58.0,2.2,789.0,766.9686616933179
hyundai,i10 grand 1.2 mt 2020,lắp ráp trong nước,sedan,số tay,xăng,2020.0,206000.0,104.0,1.25,230.0,243.30097849289245
kia,carnival premium 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,87000.0,65.0,2.2,1134.0,1108.9732833546032
hyundai,santafe cao cấp 2.5l htrac 2023,lắp ráp trong nước,suv,số tự động,xăng,2023.0,20000.0,61.0,2.5,1160.0,1131.4081118668773
ford,ranger xls 2.2l 4x2 at 2020,nhập khẩu,bán tải / pickup,số tự động,dầu,2020.0,40000.0,57.0,2.2,545.0,536.3911852573676
mazda,2 luxury 2019,nhập khẩu,sedan,số tự động,xăng,2019.0,59236.0,57.0,1.5,365.0,387.0620258500376
hyundai,tucson 2.0 at crdi đặc biệt 2023,lắp ráp trong nước,crossover,số tự động,dầu,2023.0,30000.0,57.0,2.0,865.0,861.310991401868
mercedes,benz e class e200 exclusive 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,54000.0,57.0,2.0,1450.0,1463.6529669022304
peugeot,3008 allure 2025,lắp ráp trong nước,crossover,số tự động,xăng,2025.0,1600.0,57.0,1.6,819.0,819.9568908426536
ford,focus sport 1.5l 2018,lắp ráp trong nước,hatchback,số tự động,xăng,2018.0,70000.0,95.0,1.5,440.0,431.79252378566525
audi,a7 3.0 tfsi 2011,nhập khẩu,sedan,số tự động,xăng,2011.0,179626.7683965918,57.0,3.0,610.0,576.7466426751753
lexus,gx 460 2010,nhập khẩu,suv,số tự động,xăng,2010.0,16000.0,60.0,4.6,1254.0,1210.4966559639968
ford,everest titanium plus 2.0l 4x4 at 2023,nhập khẩu,suv,số tự động,dầu,2023.0,20000.0,57.0,2.0,1386.0,1367.9358352689978
ford,ecosport titanium 1.5l at 2017,lắp ráp trong nước,suv,số tự động,xăng,2017.0,89000.0,67.0,1.5,325.0,347.43136052339025
ford,everest titanium 2.0l 4x2 at 2023,nhập khẩu,suv,số tự động,dầu,2023.0,179626.7683965918,58.0,2.0,1195.0,1174.054269333417
mazda,cx5 2.5 at 2wd 2019,lắp ráp trong nước,suv,số tự động,xăng,2019.0,73000.0,58.0,2.5,599.0,636.797011342215
landrover,range rover velar r,nhập khẩu,suv,số tự động,xăng,2019.0,85000.0,76.0,2.0,2000.0,1975.1368195754453
toyota,camry 2.5q 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,83000.0,57.0,2.5,720.0,702.217514061346
toyota,camry 2.0e 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,120000.0,57.0,2.0,450.0,524.6246687200987
kia,morning lx 1.0 mt 2011,nhập khẩu,hatchback,số tay,xăng,2011.0,100000.0,64.0,1.0,112.0,114.84285339875495
kia,cerato 1.6 at luxury 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,70000.0,57.0,1.6,475.0,494.67955435985317
landrover,range rover hse 3.0 2015,nhập khẩu,suv,số tự động,xăng,2015.0,45000.0,57.0,3.0,2050.0,2195.907056003436
toyota,corolla cross 1.8v 2022,nhập khẩu,suv,số tự động,xăng,2022.0,20000.0,58.0,1.8,725.0,722.2249613251025
ford,everest titanium 2.2l 4x2 at 2018,nhập khẩu,suv,số tự động,dầu,2018.0,65800.0,57.0,2.2,830.0,712.1395171912056
vinfast,vf8 eco 2024,lắp ráp trong nước,suv,số tự động,điện,2024.0,31.0,58.0,0.2,845.0,866.7915424210673
ford,everest titanium 2.0l 4x2 at 2025,nhập khẩu,suv,số tự động,dầu,2025.0,6000.0,57.0,2.0,1300.0,1326.4199183877508
mazda,3 1.5l sport premium 2022,lắp ráp trong nước,hatchback,số tự động,xăng,2022.0,50000.0,65.0,1.5,579.0,574.5043337034357
mercedes,benz e class e400 amg cabriolet 2015,nhập khẩu,convertible/cabriolet,số tự động,xăng,2015.0,179626.7683965918,57.0,3.0,1280.0,1320.9580276287938
kia,sonet premium 1.5 at 2023,lắp ráp trong nước,crossover,số tự động,xăng,2023.0,14000.0,59.0,1.5,560.0,566.1992438164684
vinfast,vf8 plus awd 2023,lắp ráp trong nước,suv,số tự động,điện,2023.0,110000.0,57.0,2.097755539082448,630.0,826.3095001837378
kia,k5 premium 2.0 at 2024,lắp ráp trong nước,sedan,số tự động,xăng,2024.0,10000.0,57.0,2.0,793.0,788.3484634959866
honda,crv 2.4 at 2015,lắp ráp trong nước,suv,số tự động,xăng,2015.0,70000.0,62.0,2.4,475.0,496.3208721544699
mercedes,benz glc 200 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,27000.0,57.0,2.0,1290.0,1268.4470766009326
lexus,rx 350 awd 2014,nhập khẩu,suv,số tự động,xăng,2014.0,104000.0,57.0,3.5,1250.0,1220.370546150525
hyundai,tucson 2.0 ath 2019,lắp ráp trong nước,crossover,số tự động,xăng,2019.0,89000.0,57.0,2.0,615.0,640.2280858712963
mazda,3 1.5 at 2015,lắp ráp trong nước,sedan,số tự động,xăng,2015.0,90000.0,96.0,1.5,330.0,340.9883616768621
mazda,3 1.5l luxury 2023,lắp ráp trong nước,sedan,số tự động,xăng,2023.0,22000.0,57.0,1.5,588.0,578.1364071963927
mercedes,benz glc 300 4matic 2020,lắp ráp trong nước,suv,số tự động,xăng,2020.0,60000.0,59.0,2.0,1380.0,1475.1201541869068
mercedes,benz c class c200 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,75000.0,59.0,1.5,839.0,809.0076842870036
mazda,cx5 deluxe 2.0 at 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,65000.0,62.0,2.0,665.0,649.7178675040466
mitsubishi,xpander 1.5 mt 2022,lắp ráp trong nước,suv,số tay,xăng,2022.0,179626.7683965918,59.0,1.5,465.0,404.98322265264756
toyota,innova 2.0e 2019,lắp ráp trong nước,crossover,số tay,xăng,2019.0,98000.0,58.0,2.0,429.0,436.9773706387879
ford,everest titanium plus 2.0l 4x4 at 2023,nhập khẩu,suv,số tự động,dầu,2023.0,50000.0,57.0,2.0,1310.0,1369.1287571256944
ford,ranger wildtrak 2.0l 4x4 at 2021,lắp ráp trong nước,bán tải / pickup,số tự động,dầu,2021.0,59000.0,57.0,2.0,695.0,628.5638643161576
peugeot,2008 gt line 1.2 at 2022,lắp ráp trong nước,crossover,số tự động,xăng,2022.0,40000.0,59.0,1.2,640.0,629.44925602337
hyundai,tucson 2.0 ath 2019,lắp ráp trong nước,crossover,số tự động,xăng,2019.0,90000.0,59.0,2.0,675.0,640.7087532152859
lexus,gx 460 2010,nhập khẩu,suv,số tự động,xăng,2010.0,100000.0,57.0,4.6,1230.0,1206.8196747801683
toyota,raize g 1.0 cvt 2024,nhập khẩu,suv,số tự động,xăng,2024.0,7000.0,58.0,1.0,520.0,504.9164496653374
mercedes,benz cla class cla 250 4matic 2014,nhập khẩu,sedan,số tự động,xăng,2014.0,75000.0,57.0,2.0,499.0,563.4448551705777
audi,q3 35 tfsi advanced black edition 2024,nhập khẩu,crossover,số tự động,xăng,2024.0,3900.0,57.0,1.4,1739.0,1707.8304558986813
toyota,camry le 2.4 2007,nhập khẩu,sedan,số tự động,xăng,2007.0,8.0,57.0,2.4,279.0,295.5652055826094
kia,carnival signature 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,32000.0,57.0,2.2,1235.0,1202.1959251092314
mercedes,benz c class c300 amg 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,80000.0,57.0,2.0,939.0,1005.7926544425679
hyundai,santafe premium 2.2l htrac 2020,lắp ráp trong nước,suv,số tự động,dầu,2020.0,62988.0,58.0,2.2,858.0,870.0577910121485
bmw,1 series 118i 2018,nhập khẩu,hatchback,số tự động,xăng,2018.0,70000.0,57.0,1.5,629.0,632.5335612942729
toyota,raize g 1.0 cvt 2021,nhập khẩu,suv,số tự động,xăng,2021.0,179626.7683965918,57.0,1.0,450.0,431.8637347193529
mitsubishi,xpander 1.5 mt 2021,nhập khẩu,suv,số tay,xăng,2021.0,179626.7683965918,91.0,1.5,425.0,421.1898112264523
ford,territory titanium x 1.5 at 2024,lắp ráp trong nước,suv,số tự động,xăng,2024.0,20000.0,57.0,1.5,839.0,830.8405696875005
honda,civic 2.0 at 2007,lắp ráp trong nước,sedan,số tự động,xăng,2007.0,180000.0,104.0,2.0,200.0,178.7055096757869
vinfast,vf8 plus 2022,lắp ráp trong nước,suv,số tự động,điện,2022.0,32000.0,75.0,0.2,750.0,742.6606259234783
toyota,corolla altis 1.8e at 2017,lắp ráp trong nước,sedan,số tự động,xăng,2017.0,140000.0,58.0,1.8,448.0,456.48763615697237
lexus,gx 460 2009,nhập khẩu,suv,số tự động,xăng,2009.0,210123.0,60.0,4.6,1050.0,1140.3426205264132
mercedes,benz glc 300 4matic 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,30000.0,57.0,2.0,1579.0,1593.9971063221496
toyota,fortuner 2.7v 4x2 at trd 2019,lắp ráp trong nước,suv,số tự động,xăng,2019.0,79000.0,99.0,2.7,725.0,753.1778754721807
mitsubishi,xpander premium 1.5 at 2024,nhập khẩu,suv,số tự động,xăng,2024.0,7500.0,67.0,1.5,585.0,593.2046260449606
toyota,fortuner 2.5g 2010,lắp ráp trong nước,suv,số tay,dầu,2010.0,125000.0,58.0,2.5,368.0,376.36790205071736
mazda,3 s 1.6 at 2014,lắp ráp trong nước,sedan,số tự động,xăng,2014.0,80000.0,94.0,1.6,260.0,284.82156866200717
landrover,range rover evoque hse dynamic 2015,nhập khẩu,suv,số tự động,xăng,2015.0,57000.0,57.0,2.0,799.0,837.4884945596411
