Hãng xe,Dòng xe,Xuất xứ,Kiểu dáng,Hộp số,Loại động cơ,Năm sản xuất,Số Km đã đi,Số ngày bài đã đăng,Dung tích động cơ,Giá thực tế,Giá dự đoán
toyota,yaris 1.5e 2016,nhập khẩu,hatchback,số tự động,xăng,2016.0,67000.0,57.0,1.5,359.0,358.6005889986962
toyota,fortuner 2.4l 4x2 at 2025,lắp ráp trong nước,suv,số tự động,dầu,2025.0,23.0,57.0,2.4,1079.0,1084.6154596625577
mercedes,benz e class e200 sport 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,11000.0,57.0,2.0,1320.0,1191.0061736522894
volkswagen,viloran premium 2023,nhập khẩu,van/minivan,số tự động,xăng,2023.0,32000.0,70.0,2.0,1738.0,1728.243583619874
hyundai,accent 1.4 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,45000.0,58.0,1.4,430.0,418.03685909632054
toyota,innova g 2008,lắp ráp trong nước,crossover,số tay,xăng,2008.0,179626.7683965918,57.0,2.0,172.0,182.98532060604276
kia,carnival signature 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,34000.0,62.0,2.2,1245.0,1203.7947815479936
toyota,prado gx 2.7 at 2007,nhập khẩu,suv,số tự động,xăng,2007.0,150000.0,81.0,2.7,365.0,385.3259619226577
toyota,yaris cross 1.5 d,nhập khẩu,suv,số tự động,xăng,2024.0,17181.0,58.0,1.5,2024.0,2012.188712250034
mitsubishi,attrage 1.2mt 2017,nhập khẩu,sedan,số tay,xăng,2017.0,179626.7683965918,63.0,1.2,180.0,185.37800932506354
toyota,fortuner 2.4l 4x2 at 2022,lắp ráp trong nước,suv,số tự động,dầu,2022.0,54430.0,57.0,2.4,950.0,939.9682700778658
mazda,2 luxury 2023,nhập khẩu,sedan,số tự động,xăng,2023.0,27000.0,63.0,1.5,460.0,473.4921509782286
chevrolet,lacetti 1.6 2013,lắp ráp trong nước,sedan,số tay,xăng,2013.0,123456.0,104.0,1.6,160.0,104.98993300135429
toyota,yaris 1.5g 2019,nhập khẩu,hatchback,số tự động,xăng,2019.0,60000.0,57.0,1.5,440.0,458.52622791290906
ford,focus 1.8 at 2011,lắp ráp trong nước,hatchback,số tự động,xăng,2011.0,12000.0,67.0,1.8,195.0,179.93541961556662
toyota,corolla altis 2.0v 2015,lắp ráp trong nước,sedan,số tự động,xăng,2015.0,80000.0,102.0,2.0,410.0,434.365345555409
chevrolet,trailblazer lt 2.5l 4x2 mt 2018,nhập khẩu,suv,số tay,dầu,2018.0,80000.0,100.0,2.5,399.0,412.32515489633147
toyota,innova 2.0e 2017,lắp ráp trong nước,crossover,số tay,xăng,2017.0,60000.0,57.0,2.0,385.0,394.15384005793334
toyota,vios 1.5e 2011,lắp ráp trong nước,sedan,số tay,xăng,2011.0,159.0,57.0,1.5,159.0,140.59287867488231
mazda,2 sport luxury 2020,nhập khẩu,hatchback,số tự động,xăng,2020.0,50000.0,92.0,1.5,428.0,429.04553993620294
toyota,hilux gr sport 2.8l 4x4 at 2021,nhập khẩu,bán tải / pickup,số tự động,dầu,2021.0,85000.0,63.0,2.8,770.0,617.0184670609173
