Hãng xe,Dòng xe,Giá thành,Thông số
Hyundai,Santafe Cao Cap 2 2L Htrac 2023,1190000000,"Năm sản xuất: 2023, Số Km đã đi: 44000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Kia,Carnival Premium 2 2D 2022,1090000000,"Năm sản xuất: 2022, Số Km đã đi: 70000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Van/Minivan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Lexus,Lx 600 Urban 2025,9399000000,"Năm sản xuất: 2025, Số Km đã đi: 4000, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 3.4"
Mazda,Cx5 2 0 At 2017,495000000,"Năm sản xuất: 2017, Số Km đã đi: 120000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Cla Class Cla 200 2018,679000000,"Năm sản xuất: 2018, Số Km đã đi: 42000, Xuất xứ: Nhập khẩu, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.6"
Mercedes Benz,E Class E200 2019,1038000000,"Năm sản xuất: 2019, Số Km đã đi: 65000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Glc 300 4Matic 2017,899000000,"Năm sản xuất: 2017, Số Km đã đi: 67000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Glc 300 4Matic 2019,1088000000,"Năm sản xuất: 2019, Số Km đã đi: 44000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Ml Class Ml400 Amg 4Matic 2014,819000000,"Năm sản xuất: 2014, Số Km đã đi: 99000, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 3.0"
Mg,Zs Luxury 1 5 At 2Wd 2021,435000000,"Năm sản xuất: 2021, Số Km đã đi: 60000, Xuất xứ: Nhập khẩu, Kiểu dáng: Crossover, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
Mitsubishi,Outlander Premium 2 0 Cvt 2021,680000000,"Năm sản xuất: 2021, Số Km đã đi: 71000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Toyota,Wigo 1 2G At 2019,285000000,"Năm sản xuất: 2019, Số Km đã đi: 56000, Xuất xứ: Nhập khẩu, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.2"
Vinfast,Fadil 1 4 At Plus 2020,315000000,"Năm sản xuất: 2020, Số Km đã đi: 40000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
Vinfast,Fadil 1 4 At Plus 2021,315000000,"Năm sản xuất: 2021, Số Km đã đi: 29000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
Vinfast,Fadil 1 4 At Plus 2021,320000000,"Năm sản xuất: 2021, Số Km đã đi: 40000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
