Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
35,826,1150000000,0.7494636662680425,-0.013356916300359472,0,8,1,-0.604528152916388,0,0.15729367958356225
35,2654,279000000,-0.28887950289710734,-0.014063804328711495,0,4,1,-0.604528152916388,2,-0.9276622587708258
35,3445,679000000,-0.28887950289710734,-0.009539720947258546,0,8,1,-0.604528152916388,0,0.15729367958356225
44,14,339000000,-0.28887950289710734,-0.011236252215303402,0,6,1,-0.604528152916388,2,-0.64214753815125
47,652,348000000,-1.327222672062257,-0.004167371931783168,0,6,1,-0.604528152916388,2,1.0709407855662043
47,662,1799000000,0.7494636662680425,-0.02254221934076566,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1920,988000000,0.1264577647689526,-0.01604309080809716,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1923,1358000000,0.7494636662680425,-0.018587887710164445,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1942,2358000000,0.9571323001010724,-0.020849929400890917,0,5,1,-0.604528152916388,2,-0.07111809691209854
71,713,485000000,-0.9118854043961973,-0.008408700101895308,0,6,1,-0.604528152916388,2,0.4999113443270529
71,1760,930000000,0.5417950324350125,-0.01703273404778999,0,5,1,-0.604528152916388,0,0.3857054560792225
75,1657,290000000,0.5417950324350125,-0.014063804328711495,0,4,1,-0.604528152916388,2,-0.7563534263990804
2,2956,858000000,0.1264577647689526,-0.013215538694689067,1,3,1,-0.604528152916388,2,-0.7563534263990804
18,1610,935000000,0.7494636662680425,-0.01660860123077878,1,5,1,-0.604528152916388,0,-0.07111809691209854
18,1618,1015000000,0.7494636662680425,-0.016749978836449183,1,5,1,-0.604528152916388,0,-0.07111809691209854
18,3117,980000000,0.5417950324350125,-0.01363967151170028,1,0,1,-0.604528152916388,0,-0.07111809691209854
18,3119,1155000000,0.9571323001010724,-0.018587887710164445,1,0,1,-0.604528152916388,0,-0.07111809691209854
23,1220,777000000,0.33412639860198257,-0.013781049117370686,0,5,1,-0.604528152916388,2,-0.64214753815125
26,3384,890000000,0.5417950324350125,-0.014063804328711495,0,5,1,-0.604528152916388,0,0.15729367958356225
26,3390,1045000000,0.7494636662680425,-0.014063804328711495,0,5,1,-0.604528152916388,2,0.4999113443270529
35,3438,799000000,0.33412639860198257,-0.009822476158599354,0,8,1,-0.604528152916388,0,0.15729367958356225
44,83,569000000,0.9571323001010724,-0.017174111653460396,0,6,1,-0.604528152916388,2,-0.64214753815125
44,1281,500000000,-0.4965481367301373,-0.011943140243655425,0,5,1,-0.604528152916388,2,0.4999113443270529
44,1287,690000000,0.33412639860198257,-0.016184468413767566,0,5,1,-0.604528152916388,2,0.4999113443270529
47,1399,999000000,0.1264577647689526,-0.013356916300359472,0,6,1,-0.604528152916388,2,-0.07111809691209854
50,2789,690000000,0.7494636662680425,-0.016184468413767566,0,5,1,-0.604528152916388,2,-0.07111809691209854
