title,price,posted_date,specs
Xe Toyota Veloz Cross 1.5 CVT 2022,530 Triệu,1/10/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '32,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Audi A4 40 TFSI Advanced 2019,989 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '22,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe BMW 3 Series 320i Sport Line 2022,1 Tỷ 279 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '42,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe BMW 5 Series 520i 2023,1 Tỷ 738 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '21,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Honda CRV 2.4 AT 2014,465 Triệu,30/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '90,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.4 L'}"
Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2023,1 Tỷ 190 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '44,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Kia Carnival Premium 2.2D 2022,1 Tỷ 90 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Lexus LX 600 Urban 2025,9 Tỷ 399 Triệu,30/09/2025,"{'Năm sản xuất': '2025', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '4,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.4 L'}"
Xe Mazda CX5 2.0 AT 2017,495 Triệu,30/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '120,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz CLA class CLA 200 2018,679 Triệu,30/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '42,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Mercedes Benz E class E200 2019,1 Tỷ 38 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '65,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 300 4Matic 2017,899 Triệu,30/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '67,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 300 4Matic 2019,1 Tỷ 88 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '44,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz ML Class ML400 AMG 4Matic 2014,819 Triệu,30/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '99,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.0 L'}"
Xe MG ZS Luxury 1.5 AT 2WD 2021,435 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Mitsubishi Outlander Premium 2.0 CVT 2021,680 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '71,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Toyota Wigo 1.2G AT 2019,285 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '56,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.2 L'}"
Xe VinFast Fadil 1.4 AT Plus 2020,315 Triệu,30/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '40,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
